"ecoregion","ecoregion_code","prot_date","tot_protected_overlaps_removed","tot_protected"
"SOUTHERN ROCKY MOUNTAIN TRENCH","SRT",2013,5642341.972666,5642367.62787405
"SOUTHERN ROCKY MOUNTAIN TRENCH","SRT",2014,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1961,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1990,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1992,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1993,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1994,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1995,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1996,80468.035019113,80468.0350197495
"THOMPSON-OKANAGAN PLATEAU","TOP",1997,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",1998,1499.2689974889,1499.2689974889
"THOMPSON-OKANAGAN PLATEAU","TOP",1999,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",2000,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",2001,60200.754822361,60200.754822361
"THOMPSON-OKANAGAN PLATEAU","TOP",2002,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",2003,18939.2425556036,18939.2425556036
"THOMPSON-OKANAGAN PLATEAU","TOP",2004,3971.47591350432,3971.47591350432
"THOMPSON-OKANAGAN PLATEAU","TOP",2005,41482.2494499517,41482.2494499517
"THOMPSON-OKANAGAN PLATEAU","TOP",2006,15437.522205858,15437.522205858
"THOMPSON-OKANAGAN PLATEAU","TOP",2007,7656.18706983908,7656.18706983908
"THOMPSON-OKANAGAN PLATEAU","TOP",2008,8262995.45721319,8262995.45721319
"THOMPSON-OKANAGAN PLATEAU","TOP",2009,13124538.161916,13124538.161916
"THOMPSON-OKANAGAN PLATEAU","TOP",2010,459279.2337819,493260.734254285
"THOMPSON-OKANAGAN PLATEAU","TOP",2011,2635192.22508833,2635192.22508833
"THOMPSON-OKANAGAN PLATEAU","TOP",2012,81956.118051529,3074850.21038185
"THOMPSON-OKANAGAN PLATEAU","TOP",2013,0,0
"THOMPSON-OKANAGAN PLATEAU","TOP",2014,0,0
"WESTERN VANCOUVER ISLAND","WVI",1961,0,0
"WESTERN VANCOUVER ISLAND","WVI",1990,0,0
"WESTERN VANCOUVER ISLAND","WVI",1992,0,0
"WESTERN VANCOUVER ISLAND","WVI",1993,0,0
"WESTERN VANCOUVER ISLAND","WVI",1994,0,0
"WESTERN VANCOUVER ISLAND","WVI",1995,0,0
"WESTERN VANCOUVER ISLAND","WVI",1996,0,0
"WESTERN VANCOUVER ISLAND","WVI",1997,0,0
"WESTERN VANCOUVER ISLAND","WVI",1998,0,0
"WESTERN VANCOUVER ISLAND","WVI",1999,0,0
"WESTERN VANCOUVER ISLAND","WVI",2000,0,0
"WESTERN VANCOUVER ISLAND","WVI",2001,0,0
"WESTERN VANCOUVER ISLAND","WVI",2002,0,0
"WESTERN VANCOUVER ISLAND","WVI",2003,0,0
"WESTERN VANCOUVER ISLAND","WVI",2004,0,0
"WESTERN VANCOUVER ISLAND","WVI",2005,0,0
"WESTERN VANCOUVER ISLAND","WVI",2006,0,0
"WESTERN VANCOUVER ISLAND","WVI",2007,328793.524232039,328793.524232039
"WESTERN VANCOUVER ISLAND","WVI",2008,0,0
"WESTERN VANCOUVER ISLAND","WVI",2009,0,0
"WESTERN VANCOUVER ISLAND","WVI",2010,0,0
"WESTERN VANCOUVER ISLAND","WVI",2011,0,0
"WESTERN VANCOUVER ISLAND","WVI",2012,0,0
"WESTERN VANCOUVER ISLAND","WVI",2013,0,0
"WESTERN VANCOUVER ISLAND","WVI",2014,0,0
